DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV,MAPPED_TRAIT,MAPPED_TRAIT_URI,STUDY ACCESSION,GENOTYPING TECHNOLOGY
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia (high-hyperdiploidy),1;369 European ancestry cases; 16;666 European ancestry controls,422 cases; 3;461 controls,21q22.2,21,38404563,ERG,ERG,,,ENSG00000157554,,,rs9976326-T,rs9976326,0,9976326,intron_variant,0,0.25,5E-9,8.301029995663981,,1.33,[1.21-1.46],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009637,Genome-wide genotyping array
2020-02-17,31767839,Vijayakrishnan J,2019-11-25,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/31767839,Identification of four novel associations for B-cell acute lymphoblastic leukaemia risk.,B-cell acute lymphoblastic leukaemia (ETV6-RUNX1 positive),936 European ancestry cases; 16;666 European ancestry controls,365 cases; 3;461 controls,2q22.3,2,145366886,intergenic,RPL6P5 - AC092484.1,ENSG00000214064,ENSG00000225107,,28829,202408,rs17481869-A,rs17481869,0,17481869,intergenic_variant,1,0.08,2E-9,8.698970004336019,,1.74,[1.45-2.09],Affymetrix; Illumina [~ 6118121] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST009636,Genome-wide genotyping array
2014-03-18,23996088,Migliorini G,2013-08-30,Blood,www.ncbi.nlm.nih.gov/pubmed/23996088,Variation at 10p12.2 and 10p14 influences risk of childhood B-cell acute lymphoblastic leukemia and phenotype.,Acute lymphoblastic leukemia (B-cell precursor),1;658 European ancestry child cases; 4;723 European ancestry controls,1;449 European ancestry child cases; 1;488 European ancestry controls,10p12.2,10,22550699,PIP4K2A,PIP4K2A,,,ENSG00000150867,,,rs10828317-T,rs10828317,1,2230469,missense_variant,0,0.68,2E-9,8.698970004336019,,1.23,[1.15-1.32],Illumina [382776] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST002158,Genome-wide genotyping array
2014-03-18,23996088,Migliorini G,2013-08-30,Blood,www.ncbi.nlm.nih.gov/pubmed/23996088,Variation at 10p12.2 and 10p14 influences risk of childhood B-cell acute lymphoblastic leukemia and phenotype.,Acute lymphoblastic leukemia (B-cell precursor),1;658 European ancestry child cases; 4;723 European ancestry controls,1;449 European ancestry child cases; 1;488 European ancestry controls,10p14,10,8062245,GATA3,GATA3,,,ENSG00000107485,,,rs3824662-T,rs3824662,0,3824662,intron_variant,0,0.17,9E-12,11.045757490560675,,1.31,[1.21-1.41],Illumina [382776] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST002158,Genome-wide genotyping array
2014-03-18,23996088,Migliorini G,2013-08-30,Blood,www.ncbi.nlm.nih.gov/pubmed/23996088,Variation at 10p12.2 and 10p14 influences risk of childhood B-cell acute lymphoblastic leukemia and phenotype.,Acute lymphoblastic leukemia (B-cell precursor),1;658 European ancestry child cases; 4;723 European ancestry controls,1;449 European ancestry child cases; 1;488 European ancestry controls,10q21.2,10,61961417,ARID5B,ARID5B,,,ENSG00000150347,,,rs7090445-?,rs7090445,0,7090445,intron_variant,0,NR,5E-54,53.30102999566398,,,,Illumina [382776] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST002158,Genome-wide genotyping array
2014-03-18,23996088,Migliorini G,2013-08-30,Blood,www.ncbi.nlm.nih.gov/pubmed/23996088,Variation at 10p12.2 and 10p14 influences risk of childhood B-cell acute lymphoblastic leukemia and phenotype.,Acute lymphoblastic leukemia (B-cell precursor),1;658 European ancestry child cases; 4;723 European ancestry controls,1;449 European ancestry child cases; 1;488 European ancestry controls,9p21.3,9,21984662,CDKN2A/B,AL359922.1; CDKN2A,,,ENSG00000264545; ENSG00000147889,,,rs3731217-?,rs3731217,0,3731217,intron_variant,0,NR,2E-8,7.698970004336019,,,,Illumina [382776] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST002158,Genome-wide genotyping array
2014-03-18,23996088,Migliorini G,2013-08-30,Blood,www.ncbi.nlm.nih.gov/pubmed/23996088,Variation at 10p12.2 and 10p14 influences risk of childhood B-cell acute lymphoblastic leukemia and phenotype.,Acute lymphoblastic leukemia (B-cell precursor),1;658 European ancestry child cases; 4;723 European ancestry controls,1;449 European ancestry child cases; 1;488 European ancestry controls,14q11.2,14,23119848,CEBPE,CEBPE - SLC7A8,ENSG00000092067,ENSG00000092068,,232,5447,rs2239633-?,rs2239633,0,2239633,regulatory_region_variant,1,NR,1E-16,16.0,,,,Illumina [382776] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST002158,Genome-wide genotyping array
2014-03-18,23996088,Migliorini G,2013-08-30,Blood,www.ncbi.nlm.nih.gov/pubmed/23996088,Variation at 10p12.2 and 10p14 influences risk of childhood B-cell acute lymphoblastic leukemia and phenotype.,Acute lymphoblastic leukemia (B-cell precursor),1;658 European ancestry child cases; 4;723 European ancestry controls,1;449 European ancestry child cases; 1;488 European ancestry controls,7p12.2,7,50402283,IKZF1,IKZF1,,,ENSG00000185811,,,rs11980379-?,rs11980379,0,11980379,3_prime_UTR_variant,0,NR,3E-33,32.52287874528034,,,,Illumina [382776] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST002158,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (normal cytogenetics),193 European ancestry cases; 3027 European ancestry controls,NA,10p14,10,8062245,GATA3,GATA3,,,ENSG00000107485,,,rs3824662-A,rs3824662,0,3824662,intron_variant,0,0.2,1E-8,8.0,,,,Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005965,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (normal cytogenetics),193 European ancestry cases; 3027 European ancestry controls,NA,7p12.2,7,50402283,IKZF1,IKZF1,,,ENSG00000185811,,,rs11980379-C,rs11980379,0,11980379,3_prime_UTR_variant,0,0.3,5E-8,7.301029995663981,,,,Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005965,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (normal cytogenetics),193 European ancestry cases; 3027 European ancestry controls,NA,14q32.12,14,92231568,CPSF2; SLC24A4,CPSF2 - AL133240.1,ENSG00000165934,ENSG00000258481,,59423,21925,rs189434316-T,rs189434316,0,189434316,intergenic_variant,1,0.07,6E-9,8.221848749616356,,3.7,[2.5-6.2],Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005965,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (hyperdiploid negative),410 European ancestry cases; 3027 European ancestry controls,NA,10p14,10,8062245,GATA3,GATA3,,,ENSG00000107485,,,rs3824662-A,rs3824662,0,3824662,intron_variant,0,0.2,3E-13,12.522878745280337,,,,Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005966,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (hyperdiploid negative),410 European ancestry cases; 3027 European ancestry controls,NA,7p12.2,7,50402283,IKZF1,IKZF1,,,ENSG00000185811,,,rs11980379-C,rs11980379,0,11980379,3_prime_UTR_variant,0,0.3,3E-7,6.522878745280337,,,,Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005966,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (hyperdiploid negative),410 European ancestry cases; 3027 European ancestry controls,NA,14q32.12,14,92231568,SLC24A4; CPSF2,CPSF2 - AL133240.1,ENSG00000165934,ENSG00000258481,,59423,21925,rs189434316-T,rs189434316,0,189434316,intergenic_variant,1,NR,2E-6,5.698970004336019,,,,Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005966,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (Philadelphia chromosome negative),333 European ancestry cases; 3;027 European ancestry controls,NA,10p14,10,8062245,GATA3,GATA3,,,ENSG00000107485,,,rs3824662-A,rs3824662,0,3824662,intron_variant,0,0.2,1E-12,12.0,,,,Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005967,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (Philadelphia chromosome negative),333 European ancestry cases; 3;027 European ancestry controls,NA,7p12.2,7,50402283,IKZF1,IKZF1,,,ENSG00000185811,,,rs11980379-C,rs11980379,0,11980379,3_prime_UTR_variant,0,0.3,4E-9,8.397940008672037,,,,Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005967,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (Philadelphia chromosome negative),333 European ancestry cases; 3;027 European ancestry controls,NA,14q32.12,14,92231568,CPSF2; SLC24A4,CPSF2 - AL133240.1,ENSG00000165934,ENSG00000258481,,59423,21925,rs189434316-T,rs189434316,0,189434316,intergenic_variant,1,NR,3E-6,5.522878745280337,,,,Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005967,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia (abnormal cytogenetics),253 European ancestry cases; 3;027 European ancestry controls,NA,10p14,10,8062245,GATA3,GATA3,,,ENSG00000107485,,,rs3824662-A,rs3824662,0,3824662,intron_variant,0,0.2,2E-7,6.698970004336019,,,,Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005968,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,Acute lymphoblastic leukemia in childhood (B cell precursor),134 European ancestry cases; 3;027 European ancestry controls,NA,7p12.2,7,50402283,IKZF1,IKZF1,,,ENSG00000185811,,,rs11980379-C,rs11980379,0,11980379,3_prime_UTR_variant,0,0.3,1E-9,9.0,,2.3,[1.5-3.7],Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005969,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia in young adulthood,160 European ancestry cases; 3;027 European ancestry controls,NA,10p14,10,8062245,GATA3,GATA3,,,ENSG00000107485,,,rs3824662-A,rs3824662,0,3824662,intron_variant,0,0.2,6E-6,5.221848749616356,,1.9,[1.1-3.3],Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005970,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,B cell acute lymphoblastic leukaemia in adulthood,152 European ancestry cases; 3;027 European ancestry controls,NA,10p14,10,8062245,GATA3,GATA3,,,ENSG00000107485,,,rs3824662-A,rs3824662,0,3824662,intron_variant,0,0.2,2E-7,6.698970004336019,,2.2,[1.1-4.0],Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005971,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,Acute lymphoblastic leukemia (B-cell precursor),272 European ancestry male cases; 174 European ancestry female cases; 2;098 European ancestry male controls; 929 European ancestry female controls,NA,10p14,10,8062245,GATA3,GATA3,,,ENSG00000107485,,,rs3824662-A,rs3824662,0,3824662,intron_variant,0,0.2,3E-13,12.522878745280337,,1.9,[1.3-2.7],Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005972,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,Acute lymphoblastic leukemia (B-cell precursor),272 European ancestry male cases; 174 European ancestry female cases; 2;098 European ancestry male controls; 929 European ancestry female controls,NA,7p12.2,7,50402283,IKZF1,IKZF1,,,ENSG00000185811,,,rs11980379-C,rs11980379,0,11980379,3_prime_UTR_variant,0,0.3,7E-8,7.154901959985743,,1.5,[1.2-2.0],Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005972,Genome-wide genotyping array
2018-07-25,29296818,Clay-Gilmour AI,2017-09-08,Blood Adv,www.ncbi.nlm.nih.gov/pubmed/29296818,Genetic association with B-cell acute lymphoblastic leukemia in allogeneic transplant patients differs by age and sex.,Acute lymphoblastic leukemia (B-cell precursor),272 European ancestry male cases; 174 European ancestry female cases; 2;098 European ancestry male controls; 929 European ancestry female controls,NA,7p12.2,7,50402283,IKZF1,IKZF1,,,ENSG00000185811,,,rs11980379-C,rs11980379,0,11980379,3_prime_UTR_variant,0,NR,4E-8,7.3979400086720375,(males),1.8,[1.2-2.5],Illumina [~ 8500000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005972,Genome-wide genotyping array
2017-03-24,27694927,Vijayakrishnan J,2016-10-03,Leukemia,www.ncbi.nlm.nih.gov/pubmed/27694927,A genome-wide association study identifies risk loci for childhood acute lymphoblastic leukemia at 10q26.13 and 12q23.1.,Acute lymphoblastic leukemia in childhood (B cell precursor),1;658 European ancestry child cases; 7;224 European ancestry controls,1;109 child cases; 1;412 European ancestry child cases; 2;085 controls; 1;479 European ancestry controls,12q23.1,12,96218984,ELK3,ELK3,,,ENSG00000111145,,,rs4762284-T,rs4762284,0,4762284,intron_variant,0,0.3,8E-9,8.096910013008056,,1.19,[1.12–1.26],Illumina [11700000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST003798,Genome-wide genotyping array
2017-03-24,27694927,Vijayakrishnan J,2016-10-03,Leukemia,www.ncbi.nlm.nih.gov/pubmed/27694927,A genome-wide association study identifies risk loci for childhood acute lymphoblastic leukemia at 10q26.13 and 12q23.1.,Acute lymphoblastic leukemia in childhood (B cell precursor),1;658 European ancestry child cases; 7;224 European ancestry controls,1;109 child cases; 1;412 European ancestry child cases; 2;085 controls; 1;479 European ancestry controls,10q26.13,10,124604740,LHPP,LHPP,,,ENSG00000107902,,,rs35837782-G,rs35837782,0,35837782,intron_variant,0,0.62,1E-11,11.0,,1.21,[1.15–1.28],Illumina [11700000] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST003798,Genome-wide genotyping array
2018-07-10,29632299,Vijayakrishnan J,2018-04-09,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29632299,Genome-wide association study identifies susceptibility loci for B-cell childhood acute lymphoblastic leukemia.,Acute lymphoblastic leukemia in childhood (B cell precursor),2;442 European ancestry cases; 14;609 European ancestry controls,NA,8q24.21,8,129181858,LINC00977,CCDC26,,,ENSG00000229140,,,rs28665337-?,rs28665337,0,28665337,intron_variant,0,0.12,4E-9,8.397940008672037,,1.34,[1.21-1.47],Illumina [6755715] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005832,Genome-wide genotyping array
2018-07-10,29632299,Vijayakrishnan J,2018-04-09,Nat Commun,www.ncbi.nlm.nih.gov/pubmed/29632299,Genome-wide association study identifies susceptibility loci for B-cell childhood acute lymphoblastic leukemia.,Acute lymphoblastic leukemia in childhood (B cell precursor),2;442 European ancestry cases; 14;609 European ancestry controls,NA,2q22.3,2,145366886,intergenic,RPL6P5 - AC092484.1,ENSG00000214064,ENSG00000225107,,28829,202408,rs17481869-?,rs17481869,0,17481869,intergenic_variant,1,0.07,5E-6,5.301029995663981,,1.32,[1.17-1.49],Illumina [6755715] (imputed),N,B-cell acute lymphoblastic leukemia,http://www.ebi.ac.uk/efo/EFO_0000094,GCST005832,Genome-wide genotyping array
